x,y
1.66682253523682,1.6933312906529299
1.9798324641605407,2.0364079286370838
1.723740278334009,1.8699489420268274
1.716738638335051,1.7934590422794545
1.7572019608715153,1.724191260530918
1.7128236623145292,1.611283961632483
1.4356423932965918,1.4597001484133523
1.9214554554292935,1.9298095708727983
1.5533981568451292,1.5177357384146326
1.994902623470273,1.9693550553997061
1.671861041552685,1.694422292428485
1.328628077559553,1.3175072625461275
1.2018198903492894,1.2996850674067788
1.949546739426648,1.8979854430541028
1.5346784924919425,1.624305619261097
