x,y
0.9881614489045576,0.9940631010678133
2.0021247117025527,1.4149645619953006
3.0136779142792602,1.7359947909712345
3.9949051598674843,1.9987258841240547
4.995769234426853,2.2351217493521136
6.002740554205586,2.4500490922031717
7.024769079076701,2.6504280935495497
8.017234670554286,2.83147217372064
8.9746817211973,2.9957773150214786
9.97685728131858,3.158616355513689
10.990025913580038,3.315120799243979
12.006552897582656,3.4650473153454424
12.989632149669925,3.604113226532974
13.969641790863797,3.7375983988202632
14.99851036023298,3.8727910297656107
16.01512261146078,4.001889879976806
17.019554768880393,4.125476308122542
18.010719265503766,4.24390377665467
18.968928886360022,4.355333384066026
19.978854640174426,4.469771206692175
